"id","source url","format","filename","folder","notes"
1,"http://www.gutenberg.org/etext/19481","epub","pg19481-images.epub",,"with images"
1,"http://www.gutenberg.org/etext/19481","epub","pg19481.epub",,"no images"
1,"http://www.gutenberg.org/etext/19481","kindle","pg19481-images.mobi",,"with images"
1,"http://www.gutenberg.org/etext/19481","kindle","pg19481.mobi",,"no images"
1,"http://www.gutenberg.org/etext/19481","plucker","pg19481.plucker.pdb",,
,"http://www.gutenberg.org/etext/19481","text","19481-0.txt",,
"2","http://www.gutenberg.org/etext/23864","epub","pg23864.epub",,
,"http://www.gutenberg.org/etext/23864","kindle","pg23864.mobi",,
,"http://www.gutenberg.org/etext/23864","text","23864-0.txt",,
"3","http://www.gutenberg.org/etext/7337","epub","pg7337.epub",,
,"http://www.gutenberg.org/etext/7337","kindle","pg7337.mobi",,
,"http://www.gutenberg.org/etext/7337","text","7337-0.txt",,
"4","http://www.gutenberg.org/etext/24156","epub","pg24156.epub",,
"4","http://www.gutenberg.org/etext/24156","kindle","pg24156.mobi",,
"4","http://www.gutenberg.org/etext/24156","text","24156-0.txt",,
"5","http://www.gutenberg.org/etext/25501","epub","pg25501.epub",,
"5","http://www.gutenberg.org/etext/25501","kindle","pg25501.mobi",,
"5","http://www.gutenberg.org/etext/25501","text","25501-0.txt",,
"6","http://www.gutenberg.org/etext/24264","epub","pg24264.epub",,
"6","http://www.gutenberg.org/etext/24264","kindle","pg24264.mobi",,
"6","http://www.gutenberg.org/etext/24264","text","24264-0.txt",,
7,"http://www.gutenberg.org/etext/21279","epub","B_R_0_2_b.epub",,
7,"http://www.gutenberg.org/etext/21279","kindle","pg21279.mobi",,
7,"http://www.gutenberg.org/etext/21279","plucker","pg21279.plucker.pdb",,
7,"http://www.gutenberg.org/etext/21279","text","pg21279.plucker.pdb",,
"8","http://www.gutenberg.org/etext/9672","external_mp3",,,
9,"http://www.gutenberg.org/etext/2346","epub","pg2346.epub",,
9,"http://www.gutenberg.org/etext/2346","kindle","pg2346.mobi",,
9,"http://www.gutenberg.org/etext/2346","plucker","pg2346.plucker.pdb",,
9,"http://www.gutenberg.org/etext/2346","text","pg2346.txt",,
10,"http://www.gutenberg.org/etext/2344","epub","pg2344.epub",,
10,"http://www.gutenberg.org/etext/2344","kindle","pg2344.mobi",,
10,"http://www.gutenberg.org/etext/2344","plucker","pg2344.plucker.pdb",,
10,"http://www.gutenberg.org/etext/2344","text","pg2344.txt",,
11,"http://www.gutenberg.org/etext/2347","epub","pg2347.epub",,
11,"http://www.gutenberg.org/etext/2347","kindle","pg2347.mobi",,
11,"http://www.gutenberg.org/etext/2347","plucker","pg2347.plucker.pdb",,
11,"http://www.gutenberg.org/etext/2347","text","pg2347.txt",,
"12","http://www.gutenberg.org/etext/19640","external_mp3",,,
13,"http://www.gutenberg.org/etext/7100","epub","pg7100-images.epub",,"with images"
13,"http://www.gutenberg.org/etext/7100","epub","pg7100.epub",,"no images"
13,"http://www.gutenberg.org/etext/7100","kindle","pg7100-images.mobi",,"with images"
13,"http://www.gutenberg.org/etext/7100","kindle","pg7100.mobi",,"no images"
13,"http://www.gutenberg.org/etext/7100","plucker","pg7100.plucker.pdb",,
13,"http://www.gutenberg.org/etext/7100","text","pg7100.txt",,
14,"http://www.gutenberg.org/etext/76","epub","pg76-images.epub",,
14,"http://www.gutenberg.org/etext/76","epub","pg76.epub",,
14,"http://www.gutenberg.org/etext/76","kindle","pg76-images.mobi",,
14,"http://www.gutenberg.org/etext/76","kindle","pg76.mobi",,
14,"http://www.gutenberg.org/etext/76","plucker","pg76.plucker.pdb",,
14,"http://www.gutenberg.org/etext/76","text","pg76.txt",,
15,"http://www.gutenberg.org/etext/500","epub","pg500.epub",,
15,"http://www.gutenberg.org/etext/500","kindle","pg500.mobi",,
15,"http://www.gutenberg.org/etext/500","plucker","pg500.plucker.pdb",,
15,"http://www.gutenberg.org/etext/500","text","pg500.txt",,
